Ploidy,Species,Dev,Dev50,Devprog
01synth,QM24a,60,0.09555618,0.046383957
01synth,QM24a,60,0.034973757,0.022509304
01synth,QM24a,60,0.059984482,0.051911905
01synth,QM24a,60,0.030149559,0.243076623
01synth,QM24a,60,0.019823856,0.075068492
01synth,QM24a,60,0.027429687,0.044501387
01synth,QM24a,60,0.124797582,0.140248159
01synth,QM24a,60,0.358108736,0.103406387
01synth,QM24a,60,0.046600312,0.045614676
01synth,QM24a,60,0.055831003,0.013123991
01synth,QM24a,60,0.236853032,0.083017315
01synth,QM24a,60,0.309240269,0.115260635
01synth,QM24a,60,0.258065212,0.301829065
01synth,QM24a,60,0.163341029,0.197486867
01synth,QM24a,60,0.278697315,0.376405348
01synth,QM24a,60,0.023915737,0.10078035
01synth,QM24a,60,0.096365154,0.017211779
01synth,QM24a,60,0.359753828,0.059027898
01synth,QM24a,60,0.151657802,0.085541787
01synth,QM24a,60,0.330158678,0.122119556
01synth,QM24a,60,0.179277415,0.121779087
01synth,QM24a,60,0.030425552,0.131594644
01synth,QM24a,60,0.106284966,0.083252006
01synth,QM24a,60,0.065767794,0.005651549
01synth,QM24a,60,0.026580071,0.156044892
01synth,QM24a,60,0.195772159,0.180248513
01synth,QM24a,60,0.061172348,0.020435718
01synth,QM24a,60,0.26131798,0.124971617
01synth,QM24a,60,0.499999958,0.136275996
01synth,QM24a,60,0.331494292,0.020061959
01synth,QM24a,60,0.18425976,0.078586013
01synth,QM24a,60,0.175353531,0.098626179
01synth,QM24a,60,0.015183702,0.324781163
01synth,QM24a,60,0.445795187,0.050184309
01synth,QM24a,60,0.14703145,0.159598585
01synth,QM24a,60,0.016909825,0.165530236
01synth,QM24a,60,0.396287131,0.103712858
01synth,QM24a,60,0.221161655,0.032419987
01synth,QM24a,60,0.158607326,0.373989994
01synth,QM24a,60,0.027871851,0.017509745
01synth,QM24a,60,0.499999988,1.68359E-07
01synth,QM24a,60,0.04682261,0.092384496
01synth,QM24a,60,0.151567489,0.273513872
01synth,QM24a,60,0.002086745,0.046970929
01synth,QM24a,60,0.131553041,0.435455141
01synth,QM24a,60,0.409155182,0.038284309
01synth,QM24a,60,0.078442348,0.06445814
01synth,QM24a,60,0.3488131,0.06795375
01synth,QM24a,60,0.156420341,0.300550975
01synth,QM24a,60,0.499999988,5.02889E-09
01synth,QM24a,60,0.454181386,0.025019101
01synth,QM24a,60,0.033902504,0.171589572
01synth,QM24a,60,0.064653158,0.021448264
01synth,QM24a,60,0.499999853,6.27619E-10
01synth,QM24a,60,0.119722973,0.070309523
01synth,QM24a,60,0.150868042,0.159510554
01synth,QM24a,60,0.232334159,0.21741664
01synth,QM24a,60,0.027129457,0.043365583
01synth,QM24a,60,0.189100376,0.091579584
01synth,QM24a,60,0.198923376,0.088918921
01synth,QM24a,60,0.276916571,0.136166688
01synth,QM24a,60,0.488745772,0.276724055
01synth,QM24a,60,0.005590948,0.058783929
01synth,QM24a,60,0.237914194,0.223253218
01synth,QM24a,60,0.152768884,0.141771666
01synth,QM24a,60,0.157739228,0.04171615
01synth,QM24a,60,0.032884004,0.042223224
01synth,QM24a,60,0.041428214,0.405353774
01synth,QM24a,60,0.004903917,0.140801852
01synth,QM24a,60,0.380413046,0.063764718
01synth,QM24a,60,0.290423158,0.246969069
01synth,QM24a,60,0.119815808,0.283304015
01synth,QM24a,60,1.75439E-07,0.500000146
01synth,QM24a,60,0.15494885,0.18962868
