Gene,comp,X,sampleA,sampleB,logFC,logCPM,PValue,FDR,prog
sCHS,07tabChutomf,Nsylvestris_NODE_13755_length_1678_cov_225,TABC60,Tom60,8.329688288,7.089116447,2.27E-07,3.22E-06,sylv
sDFR,07tabChutomf,Nsylvestris_NODE_16810_length_1371_cov_224,TABC60,Tom60,4.077788015,-1.141278092,0.022641301,0.039096329,sylv
sF3'H,07tabChutomf,Nsylvestris_NODE_4292_length_3153_cov_190,TABC60,Tom60,9.519679223,3.395665287,4.26E-07,4.56E-06,sylv
sF3H,07tabChutomf,Nsylvestris_NODE_14312_length_1619_cov_212,TABC60,Tom60,4.244358712,6.979184479,2.05E-07,3.04E-06,sylv
sFLS,07tabChutomf,Nsylvestris_NODE_15824_length_1466_cov_202,TABC60,Tom60,3.682080542,7.095334019,9.66E-08,2.19E-06,sylv
tANS,07tabChutomf,Ntome_NODE_458_length_6137_cov_152,TABC60,Tom60,-3.035947165,4.126158926,0.000180856,0.000489398,tomf
tDFR,07tabChutomf,Ntome_NODE_17574_length_1395_cov_290,TABC60,Tom60,-3.434330365,4.818077108,0.000648176,0.001578406,tomf
sANS,08QM24tomf,Nsylvestris_NODE_4044_length_3219_cov_205,QM2460,Tom60,2.791229609,1.269684387,0.002734448,0.006817433,sylv
sCHI,08QM24tomf,Nsylvestris_NODE_32653_length_365_cov_193,QM2460,Tom60,7.356279645,4.772072827,2.89E-06,2.80E-05,sylv
sCHI,08QM24tomf,Nsylvestris_NODE_7397_length_2505_cov_84,QM2460,Tom60,11.61635241,5.012840034,2.61E-08,5.29E-06,sylv
sCHS,08QM24tomf,Nsylvestris_NODE_15514_length_1500_cov_222,QM2460,Tom60,5.329995712,5.213871758,0.001258981,0.003538434,sylv
sCHS,08QM24tomf,Nsylvestris_NODE_13755_length_1678_cov_225,QM2460,Tom60,8.26256344,6.604960834,6.56E-06,5.21E-05,sylv
sDFR,08QM24tomf,Nsylvestris_NODE_16810_length_1371_cov_224,QM2460,Tom60,7.179798878,0.832757991,1.33E-05,8.78E-05,sylv
sF3'H,08QM24tomf,Nsylvestris_NODE_4292_length_3153_cov_190,QM2460,Tom60,10.04288286,3.436771044,1.08E-07,5.29E-06,sylv
sF3H,08QM24tomf,Nsylvestris_NODE_14312_length_1619_cov_212,QM2460,Tom60,4.209570917,6.56807957,2.22E-06,2.30E-05,sylv
sFLS,08QM24tomf,Nsylvestris_NODE_15824_length_1466_cov_202,QM2460,Tom60,3.743831514,6.803227273,2.30E-06,2.36E-05,sylv
tAN1,08QM24tomf,Ntome_NODE_269_length_6958_cov_177,QM2460,Tom60,-2.244574553,5.259482413,8.15E-05,0.000356327,tomf
tANS,08QM24tomf,Ntome_NODE_458_length_6137_cov_152,QM2460,Tom60,-2.959589828,4.345994453,0.000915504,0.002699546,tomf
tDFR,08QM24tomf,Ntome_NODE_17574_length_1395_cov_290,QM2460,Tom60,-3.318996854,5.043418688,0.000674628,0.002090646,tomf
sANS,09QM25tomf,Nsylvestris_NODE_4044_length_3219_cov_205,QM2560,Tom60,5.431603783,3.7077198,4.70E-06,2.19E-05,sylv
sCHI,09QM25tomf,Nsylvestris_NODE_32653_length_365_cov_193,QM2560,Tom60,7.058595806,4.744345143,3.78E-06,1.84E-05,sylv
sCHI,09QM25tomf,Nsylvestris_NODE_7397_length_2505_cov_84,QM2560,Tom60,11.55318022,5.185032221,1.98E-09,5.81E-07,sylv
sCHS,09QM25tomf,Nsylvestris_NODE_15514_length_1500_cov_222,QM2560,Tom60,6.153042444,6.211261673,7.10E-05,0.000219899,sylv
sCHS,09QM25tomf,Nsylvestris_NODE_13755_length_1678_cov_225,QM2560,Tom60,8.203113057,6.791421598,5.81E-07,4.66E-06,sylv
sDFR,09QM25tomf,Nsylvestris_NODE_16810_length_1371_cov_224,QM2560,Tom60,9.320065072,2.976956848,2.36E-08,7.25E-07,sylv
sF3'H,09QM25tomf,Nsylvestris_NODE_4292_length_3153_cov_190,QM2560,Tom60,10.7450557,4.490619835,3.70E-07,3.42E-06,sylv
sF3H,09QM25tomf,Nsylvestris_NODE_14312_length_1619_cov_212,QM2560,Tom60,3.660996237,6.313766626,8.49E-06,3.53E-05,sylv
sFLS,09QM25tomf,Nsylvestris_NODE_15824_length_1466_cov_202,QM2560,Tom60,3.426339683,6.735433195,4.64E-06,2.17E-05,sylv
sANS,10QM24tab095a,Nsylvestris_NODE_4044_length_3219_cov_205,QM2460,TAB09560,-3.874838315,5.564749689,0.000565272,0.016594346,sylv
tAN1,10QM24tab095a,Ntome_NODE_269_length_6958_cov_177,QM2460,TAB09560,-2.073093859,4.682690437,0.000138085,0.009075747,tomf
tAN2,10QM24tab095a,Ntome_NODE_23004_length_983_cov_98,QM2460,TAB09560,-2.430720809,6.172051843,9.87E-06,0.002913981,tomf
tANS,10QM24tab095a,Ntome_NODE_458_length_6137_cov_152,QM2460,TAB09560,-3.180998873,4.275032154,0.002497086,0.032588235,tomf
tDFR,10QM24tab095a,Ntome_NODE_17574_length_1395_cov_290,QM2460,TAB09560,-3.434785693,4.919874652,0.002600476,0.033172962,tomf
tFLS,10QM24tab095a,Ntome_NODE_3232_length_3609_cov_134,QM2460,TAB09560,2.337662762,6.439908974,0.000105924,0.008246112,tomf
tFLS,10QM24tab095a,Ntome_NODE_4642_length_3174_cov_75,QM2460,TAB09560,2.625298516,6.221232512,0.000186852,0.010388559,tomf
sF3'H,12QM25tab095a,Nsylvestris_NODE_4292_length_3153_cov_190,QM2560,TAB09560,2.279452651,4.809158841,0.001069623,0.025664656,sylv
tAN2,12QM25tab095a,Ntome_NODE_23004_length_983_cov_98,QM2560,TAB09560,-2.353581677,5.988786443,4.82E-05,0.005701721,tomf
tFLS,12QM25tab095a,Ntome_NODE_3232_length_3609_cov_134,QM2560,TAB09560,2.114408751,6.401530915,0.00011822,0.008822602,tomf
tFLS,12QM25tab095a,Ntome_NODE_4642_length_3174_cov_75,QM2560,TAB09560,2.216130898,6.039266672,0.000240086,0.012412662,tomf
sDFR,13QM25tabChu,Nsylvestris_NODE_16810_length_1371_cov_224,QM2560,TABC60,5.000998333,3.056420828,0.001752657,0.036437601,sylv
tDFR,13QM25tabChu,Ntome_NODE_17574_length_1395_cov_290,QM2560,TABC60,3.254291483,4.080655135,0.000206003,0.012851563,tomf
sANS,14tab095tabChu,Nsylvestris_NODE_4044_length_3219_cov_205,TAB09560,TABC60,2.663906465,5.432155504,0.000583764,0.049328584,sylv
tCHS,14tab095tabChu,Ntome_NODE_17155_length_1434_cov_311,TAB09560,TABC60,-2.311196732,7.14727777,0.000261992,0.031603972,tomf
tFLS,14tab095tabChu,Ntome_NODE_3232_length_3609_cov_134,TAB09560,TABC60,-2.442592776,6.813504759,1.76E-05,0.006688694,tomf
tFLS,14tab095tabChu,Ntome_NODE_4642_length_3174_cov_75,TAB09560,TABC60,-2.36923326,6.29823326,6.16E-05,0.013894896,tomf
tFLS,15QM24QM25a,,,,,,,,
