Gene,comp,X,sampleA,sampleB,logFC,logCPM,PValue,FDR,prog
sANS,08QM24tomf,Nsylvestris_NODE_4044_length_3219_cov_205,QM2485,Tom85,4.890518044,6.246049751,3.72E-06,3.08E-05,sylv
sCHI,08QM24tomf,Nsylvestris_NODE_32653_length_365_cov_193,QM2485,Tom85,6.682407149,4.931709246,7.95E-05,0.000269433,sylv
sCHI,08QM24tomf,Nsylvestris_NODE_7397_length_2505_cov_84,QM2485,Tom85,8.400177569,4.806610768,7.29E-06,4.52E-05,sylv
sCHS,08QM24tomf,Nsylvestris_NODE_15514_length_1500_cov_222,QM2485,Tom85,6.275429577,6.294441187,1.86E-05,8.59E-05,sylv
sCHS,08QM24tomf,Nsylvestris_NODE_13755_length_1678_cov_225,QM2485,Tom85,8.532675,7.91856259,1.91E-06,2.24E-05,sylv
sDFR,08QM24tomf,Nsylvestris_NODE_16810_length_1371_cov_224,QM2485,Tom85,12.24142858,5.743993247,8.84E-08,1.64E-05,sylv
sF3'H,08QM24tomf,Nsylvestris_NODE_4292_length_3153_cov_190,QM2485,Tom85,10.13924688,4.493892617,3.44E-06,2.96E-05,sylv
sF3H,08QM24tomf,Nsylvestris_NODE_14312_length_1619_cov_212,QM2485,Tom85,4.012032535,7.252829428,1.40E-05,6.99E-05,sylv
sFLS,08QM24tomf,Nsylvestris_NODE_15824_length_1466_cov_202,QM2485,Tom85,3.977733244,6.850090116,3.89E-06,3.16E-05,sylv
sANS,09QM25tomf,Nsylvestris_NODE_4044_length_3219_cov_205,QM2585,Tom85,5.706145854,6.997358475,1.70E-05,7.89E-05,sylv
sCHI,09QM25tomf,Nsylvestris_NODE_32653_length_365_cov_193,QM2585,Tom85,6.73845085,4.823354577,7.48E-05,0.000251019,sylv
sCHI,09QM25tomf,Nsylvestris_NODE_7397_length_2505_cov_84,QM2585,Tom85,8.600853601,4.879780362,1.45E-05,7.06E-05,sylv
sCHS,09QM25tomf,Nsylvestris_NODE_15514_length_1500_cov_222,QM2585,Tom85,6.534090683,6.437488922,1.46E-05,7.10E-05,sylv
sCHS,09QM25tomf,Nsylvestris_NODE_13755_length_1678_cov_225,QM2585,Tom85,8.548887387,7.823031425,2.49E-06,2.48E-05,sylv
sDFR,09QM25tomf,Nsylvestris_NODE_16810_length_1371_cov_224,QM2585,Tom85,12.70011488,6.132317154,1.65E-06,2.12E-05,sylv
sF3'5'H,09QM25tomf,Nsylvestris_NODE_12917_length_1772_cov_200,QM2585,Tom85,6.847742052,0.34399646,0.000106897,0.000339892,sylv
sF3'H,09QM25tomf,Nsylvestris_NODE_4292_length_3153_cov_190,QM2585,Tom85,10.50025017,4.710112127,2.00E-06,2.27E-05,sylv
sF3H,09QM25tomf,Nsylvestris_NODE_14312_length_1619_cov_212,QM2585,Tom85,3.624858871,6.800992431,4.76E-05,0.00017363,sylv
sFLS,09QM25tomf,Nsylvestris_NODE_15824_length_1466_cov_202,QM2585,Tom85,3.624470265,6.433681542,2.01E-05,8.93E-05,sylv
sFLS,10QM24tab095a,Nsylvestris_NODE_15824_length_1466_cov_202,QM2485,TAB09585,2.280729122,6.790801842,2.82E-06,0.001119401,sylv
tAN1,10QM24tab095a,Ntome_NODE_269_length_6958_cov_177,QM2485,TAB09585,-2.149101417,5.30587154,9.95E-07,0.00083584,tomf
tFLS,10QM24tab095a,Ntome_NODE_3232_length_3609_cov_134,QM2485,TAB09585,2.379996866,6.0416528,1.03E-05,0.001951664,tomf
tFLS,10QM24tab095a,Ntome_NODE_4642_length_3174_cov_75,QM2485,TAB09585,2.80441993,5.745498593,2.71E-06,0.001111722,tomf
sANS,11QM24tabChu,Nsylvestris_NODE_4044_length_3219_cov_205,QM2485,TABC85,-2.030131501,8.496721677,0.000125836,0.007156163,sylv
tAN1,11QM24tabChu,Ntome_NODE_269_length_6958_cov_177,QM2485,TABC85,-2.54904049,5.713158284,5.29E-06,0.001721789,tomf
tAN2,11QM24tabChu,Ntome_NODE_23004_length_983_cov_98,QM2485,TABC85,-2.258974858,7.955960118,7.99E-05,0.005684169,tomf
sDFR,12QM25tab095a,Nsylvestris_NODE_16810_length_1371_cov_224,QM2585,TAB09585,2.427665985,6.151482653,0.000131259,0.00773748,sylv
tFLS,12QM25tab095a,Ntome_NODE_4642_length_3174_cov_75,QM2585,TAB09585,2.445722706,5.402344428,3.58E-05,0.004072427,tomf
sDFR,13QM25tabChu,Nsylvestris_NODE_16810_length_1371_cov_224,QM2585,TABC85,2.221290793,6.208397744,0.000534246,0.017561793,sylv
tAN2,13QM25tabChu,Ntome_NODE_23004_length_983_cov_98,QM2585,TABC85,-2.260210561,7.969438064,0.001175943,0.025463514,tomf
sCHS,14tab095tabChu,Nsylvestris_NODE_15514_length_1500_cov_222,TAB09585,TABC85,-2.851423884,7.534970318,1.08E-05,0.00867932,sylv
tCHS,14tab095tabChu,Ntome_NODE_17155_length_1434_cov_311,TAB09585,TABC85,-2.102462299,7.985889111,6.35E-05,0.021276475,tomf
tFLS,14tab095tabChu,Ntome_NODE_3232_length_3609_cov_134,TAB09585,TABC85,-2.040646375,5.941861956,7.74E-05,0.023636915,tomf
tFLS,14tab095tabChu,Ntome_NODE_4642_length_3174_cov_75,TAB09585,TABC85,-2.35106182,5.547626646,2.04E-05,0.012424774,tomf
tFLS,15QM24QM25a,,,,,,,,
